,Unnamed: 0,budget,popularity,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index,y_test
1086,1086,45000000.0,13.707183,86.0,5.3,244.0,36050,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.3437811234011344,57881056.0
2589,2589,29584033.76797455,8.710294000000001,87.0,4.6,115.0,33024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.008442916334848144,83769672.29056203
2956,2956,11000000.0,5.062687,104.0,6.2,42.0,34995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03367217094234134,83769672.29056203
3310,3310,7700000.0,3.363973,110.0,6.6,43.0,37906,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.1932084666320033,83769672.29056203
1614,1614,30000000.0,8.999675,108.0,6.6,162.0,34818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.647737053480633,34742066.0
416,416,82500000.0,41.176631,107.0,6.0,2104.0,34915,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2.9644077198196177,237681299.0
1393,1393,30000000.0,11.120167,98.0,5.8,140.0,34579,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1972514642465525,58405313.0
3751,3751,29584033.76797455,7.2883520000000015,109.0,5.8,34.0,34125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14112374355873467,10000000.0
3657,3657,5000000.0,9.136965,107.0,7.0,202.0,36855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00549223921632853,83769672.29056203
4584,4584,29584033.76797455,0.13361900000000002,107.21727137704222,5.0,2.0,37731,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.004876710446511529,83769672.29056203
3935,3935,29584033.76797455,15.492257,86.0,7.2,345.0,37436,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.13363434015882236,4069826.0
1956,1956,25000000.0,3.344158,100.0,4.1,26.0,37735,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03663241478864546,83769672.29056203
3606,3606,5000000.0,38.006982,103.0,6.7,777.0,38267,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0947456265683664,54418872.0
3654,3654,5000000.0,3.792015,90.0,6.2,37.0,35108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0001863663705959796,782102.0
2936,2936,11000000.0,29.543331,184.0,7.7,505.0,23771,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.007565286653396159,20000000.0
1899,1899,29584033.76797455,2.753501,107.0,4.7,28.0,28259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0394502928493105,83769672.29056203
4577,4577,15000.0,47.456823,86.0,5.9,1316.0,35364,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.8541637639175936,193355800.0
4389,4389,29584033.76797455,0.8878209999999999,200.0,3.4,6.0,34636,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.008453634181995108,83769672.29056203
352,352,90000000.0,67.427755,88.0,7.6,2008.0,31989,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.2980658831715255,304320254.0
2772,2772,29584033.76797455,1.7800650000000002,112.0,6.7,11.0,32551,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.634824730125448,83769672.29056203
3174,3174,40600000.0,34.022209000000004,116.0,7.1,738.0,26499,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.488162186291422,90400000.0
3027,3027,29584033.76797455,11.158906,100.0,5.5,203.0,34545,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1.6334901008412556e-05,83769672.29056203
3975,3975,2900000.0,3.370225,136.0,7.3,25.0,18658,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.08534763028245446,5000000.0
3900,3900,3000000.0,11.241802,98.0,5.3,106.0,31668,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.1493475372152469,23144499.0
1895,1895,25000000.0,15.960916,95.0,6.9,530.0,33579,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.004391118389261448,17000000.0
4005,4005,2600000.0,3.687574,97.0,5.2,38.0,35448,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.011432945714888024,83769672.29056203
417,417,8000000.0,13.661289000000002,120.0,6.7,226.0,26292,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.31842022085514904,21028755.0
2709,2709,29584033.76797455,9.242554,150.0,6.3,204.0,37968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2874235621878337,5405500.0
1233,1233,40000000.0,12.885985,117.0,6.3,186.0,34690,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.17826574468680775,46442528.0
933,933,50000000.0,16.251204,115.0,6.0,692.0,33683,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.9749858089901025,88323487.0
