,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index
57,180000000.0,66.390712,521311860.0,98.0,7.8,6296.0,35646,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5917117416512345
58,140000000.0,22.57178,258022233.0,91.0,6.1,783.0,35327,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.2080223592301376
59,200000000.0,45.274225,769653595.0,158.0,5.6,4903.0,36121,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.908028065720335
60,200000000.0,39.744242,325233863.0,96.0,6.6,1095.0,36146,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.5427882382141072
61,176000003.0,85.36908000000001,183987723.0,124.0,5.2,2768.0,38064,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8999432359604094
62,180000000.0,42.741719,356743061.0,109.0,5.5,2430.0,38575,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07872754040104507
63,180000000.0,67.391328,748806957.0,143.0,6.7,2629.0,34718,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.7041007107441897
64,178000000.0,139.272042,543934787.0,144.0,6.4,4721.0,38533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.651601162199817
65,185000000.0,187.322927,1004558444.0,152.0,8.2,12002.0,35670,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.04801272903672679
66,175000000.0,92.201962,735099082.0,96.0,7.7,6870.0,35971,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,5.737977754621587
67,175000000.0,36.167578000000006,381509870.0,94.0,6.0,1423.0,35916,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.827325560279116
68,140000000.0,120.725053,585174222.0,126.0,7.4,8776.0,35593,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.364848930198177
69,170000000.0,32.319043,185770160.0,126.0,7.0,2141.0,36894,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,25.799638721087444
70,170000000.0,40.748915000000004,222104681.0,106.0,5.1,1020.0,32365,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.010794245751329513
71,145000000.0,60.034162,401128639.0,112.0,5.2,1387.0,35655,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.79963838766415
72,175000000.0,90.23791999999999,745000000.0,123.0,5.9,7458.0,38609,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.104185458111676
73,175000000.0,27.082182,173000000.0,96.0,5.3,1151.0,35267,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.919327148512384
74,178000000.0,79.456485,370541256.0,113.0,7.6,4858.0,37811,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.844625809355372
