,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign
88,165000000,203.73459,652105443,102.0,7.8,6135,37961,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
89,165000000,62.341073,471222889,108.0,7.1,4570,37239,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
90,165000000,47.323228,305875730,100.0,6.4,1474,34326,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
91,165000000,48.775723,389681935,120.0,4.9,2491,38568,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,165000000,67.263269,494878759,98.0,7.5,4227,36267,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
93,200000000,69.405188,435000000,109.0,5.9,2143,33829,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,170000000,481.09862400000003,773328629,121.0,7.9,9742,37875,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,165000000,724.247784,675120017,169.0,8.1,10867,37973,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,160000000,167.58371,825532764,148.0,8.1,13752,36398,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
97,15000000,9.476999000000001,77000000,120.0,6.5,143,38605,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
98,250000000,108.849621,1021103568,169.0,7.0,8297,37264,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,38000000,6.909942,207283925,106.0,6.6,3428,33089,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
100,150000000,60.269279000000004,333932083,166.0,7.3,3292,35801,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
101,160000000,3.195174,353624124,132.0,7.1,5181,36712,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,160000000,127.28442700000001,653428261,137.0,6.6,3984,38351,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,150000000,35.580815,215283742,109.0,5.8,1470,36397,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
104,160000000,21.133748,181674817,99.0,5.5,583,34874,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
105,170000000,56.268916000000004,299370084,113.0,6.5,1725,38540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,160000000,42.986467,798958165,93.0,6.0,2278,35244,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
107,160000000,63.148529,433677183,123.0,6.3,2268,38540,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,155000000,202.04263500000002,440603537,126.0,5.8,3631,38203,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,155000000,49.661984000000004,415686217,113.0,6.2,1514,36428,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,140000000,34.20669,449220945,183.0,6.6,1791,33057,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
111,150000000,25.468493,709709780,144.0,6.6,4040,35285,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,155000000,39.019228999999996,167298192,175.0,5.6,927,34337,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
113,150000000,78.14439499999999,938212738,138.0,7.4,5494,35286,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
114,150000000,101.250416,895921036,157.0,7.5,5608,34686,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,150000000,56.758410999999995,624029371,92.0,6.2,2961,35655,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,150000000,70.867401,585349010,101.0,6.9,4853,35455,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
117,150000000,53.905592000000006,474968763,115.0,6.7,3624,34571,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
118,150000000,65.677399,623722818,111.0,7.5,4369,35280,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
119,150000000,115.040024,374218673,140.0,7.5,7359,34538,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120,150000000,44.141021,603900354,89.0,6.2,1810,35776,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
121,150000000,81.781591,413106170,105.0,5.9,1971,35978,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
122,150000000,5.954333999999999,373062864,107.0,6.2,4021,35956,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,150000000,73.313918,424988211,129.0,6.4,3096,33955,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,150000000,165.12536599999999,1274219009,102.0,7.3,5295,37630,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
125,150000000,70.78591,738599701,138.0,6.7,3443,33781,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,170000000,99.499595,644571402,112.0,6.8,4755,37601,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,150000000,434.27856399999996,378858340,120.0,7.2,9427,38162,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,150000000,67.447636,356613439,138.0,6.5,2129,35971,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
129,150000000,86.493424,449326618,115.0,6.6,6525,36679,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,150000000,41.845878000000006,309979994,98.0,6.3,1750,35798,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
131,150000000,26.710397999999998,292817841,88.0,5.1,510,36040,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
132,150000000,44.927634999999995,301000000,99.0,5.5,1431,37020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
