,budget,popularity,runtime,vote_average,vote_count,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Documentary,Foreign,TV Movie,Days
4029,29045039.87528628,0.424957,80.0,5.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36204
4030,14000000.0,3.393648,106.0,6.1,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,35775
4031,29045039.87528628,5.025938,103.0,6.1,61,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,32584
4032,2500000.0,4.624691,90.0,6.0,40,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35817
4033,2500000.0,12.204569000000001,96.0,6.6,441,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36455
4034,29045039.87528628,0.6302260000000001,89.0,5.0,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,36538
4035,2500000.0,4.2704889999999995,87.0,4.9,63,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,38213
4036,35000000.0,3.674294,94.0,4.8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38640
4037,2400000.0,4.623059,120.0,7.0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31379
4038,29045039.87528628,1.9467150000000002,101.0,4.8,21,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,35077
4039,30000000.0,27.940093,84.0,6.3,664,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34986
4040,2500000.0,1.7595060000000002,110.0,4.5,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38270
4041,2380000.0,8.395624,101.0,7.4,363,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34997
4042,2500000.0,8.248149,101.0,3.1,47,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37282
4043,2361000.0,0.628051,101.0,7.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12279
4044,2450000.0,0.500753,105.0,4.6,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36701
4045,29045039.87528628,0.376662,97.0,10.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,31941
4046,2300000.0,1.606314,107.0,6.9,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14847
4047,29045039.87528628,0.19726400000000002,91.0,4.7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36806
4048,29045039.87528628,5.759493,108.0,5.6,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37881
4049,2000000.0,6.86302,90.0,6.7,93,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,27992
